Model,Accuracy,F1 Score,Recall,Precision,Training Time (s),Inference Time (s/sample)
KNN,0.896551724137931,0.896829073398608,0.896551724137931,0.9081071709043439,0.0013735294342041016,4.3594974210892604e-05
Decision Tree,0.9540229885057471,0.9547247675326492,0.9540229885057471,0.9584701696770662,0.0021924972534179688,6.845627707996588e-06
Random Forest,0.9195402298850575,0.9191829881485053,0.9195402298850575,0.9224103434477239,0.09356141090393066,5.589682480384563e-05
SVM,0.7471264367816092,0.6576839843935111,0.7471264367816092,0.5907974805167077,0.005427360534667969,8.657060820480873e-06
XGBoost,0.9310344827586207,0.9319910339614773,0.9310344827586207,0.9384360849878093,1.77223539352417,2.2057829232051456e-05
